cbsa_code,cbsa_name,year,total_housing_units,occupied_units,vacant_units,owner_occupied,renter_occupied,avg_household_size,median_hh_income,median_home_value,median_gross_rent,acs_type,dq_flag
12060,Atlanta-Sandy Springs-Alpharetta,2005,1173397.0,1102992.0,70405.0,683855.0,419137.0,2.5,41612.0,252605.0,866.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2006,1234709.0,1160626.0,74083.0,719588.0,441038.0,2.5,42899.0,266957.0,893.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2007,1274330.0,1197870.0,76460.0,742679.0,455191.0,2.5,44226.0,246060.0,921.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2008,1290228.0,1212814.0,77414.0,751944.0,460870.0,2.5,45594.0,205777.0,949.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2009,1294313.0,1216654.0,77659.0,754325.0,462329.0,2.5,47004.0,188926.0,979.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2010,1299291.0,1299291.0,0.0,805560.0,493731.0,2.5,48457.0,178369.0,1009.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2011,1305284.0,1305284.0,0.0,809276.0,496008.0,2.5,49956.0,171860.0,1040.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2012,1316550.0,1316550.0,0.0,816261.0,500289.0,2.5,51501.0,181363.0,1072.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2013,1337086.0,1337086.0,0.0,828993.0,508093.0,2.5,53094.0,204490.0,1106.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2014,1359701.0,1359701.0,0.0,843014.0,516687.0,2.5,54736.0,221915.0,1140.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2015,1385777.0,1385777.0,0.0,859181.0,526596.0,2.5,56429.0,245037.0,1175.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2016,1417343.0,1417343.0,0.0,878752.0,538591.0,2.5,58174.0,260438.0,1211.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2017,1446621.0,1446621.0,0.0,896905.0,549716.0,2.5,59973.0,262323.0,1249.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2018,1480877.0,1480877.0,0.0,918143.0,562734.0,2.5,61828.0,286731.0,1288.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2019,1509171.0,1509171.0,0.0,935686.0,573485.0,2.5,63741.0,283483.0,1327.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2020,1540277.0,1540277.0,0.0,954971.5,585305.5,2.5,65742.5,312164.5,1369.0,interpolated,IMPUTED_VALUE
12060,Atlanta-Sandy Springs-Alpharetta,2021,1571383.0,1571383.0,0.0,974257.0,597126.0,2.5,67744.0,340846.0,1411.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2022,1614110.0,1614110.0,0.0,1000748.0,613362.0,2.5,69840.0,383393.0,1455.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2023,1647759.0,1647759.0,0.0,1021610.0,626149.0,2.5,72000.0,336244.0,1500.0,1yr,
12060,Atlanta-Sandy Springs-Alpharetta,2024,1683191.0,1683191.0,0.0,1043578.0,639613.0,2.5,74226.0,351277.0,1546.0,1yr,
12420,Austin-Round Rock-Georgetown,2005,420481.0,395252.0,25229.0,245056.0,150196.0,2.5,47392.0,313310.0,987.0,1yr,
12420,Austin-Round Rock-Georgetown,2006,443689.0,417067.0,26622.0,258581.0,158486.0,2.5,48857.0,345895.0,1017.0,1yr,
12420,Austin-Round Rock-Georgetown,2007,461200.0,433528.0,27672.0,268787.0,164741.0,2.5,50368.0,300919.0,1049.0,1yr,
12420,Austin-Round Rock-Georgetown,2008,471249.0,442974.0,28275.0,274643.0,168331.0,2.5,51926.0,268419.0,1081.0,1yr,
12420,Austin-Round Rock-Georgetown,2009,478506.0,449795.0,28711.0,278872.0,170923.0,2.5,53532.0,228871.0,1115.0,1yr,
12420,Austin-Round Rock-Georgetown,2010,485789.0,485789.0,0.0,301189.0,184600.0,2.5,55188.0,223645.0,1149.0,1yr,
12420,Austin-Round Rock-Georgetown,2011,494409.0,494409.0,0.0,306533.0,187876.0,2.5,56895.0,223997.0,1185.0,1yr,
12420,Austin-Round Rock-Georgetown,2012,511607.0,511607.0,0.0,317196.0,194411.0,2.5,58654.0,232272.0,1221.0,1yr,
12420,Austin-Round Rock-Georgetown,2013,529991.0,529991.0,0.0,328594.0,201397.0,2.5,60468.0,263013.0,1259.0,1yr,
12420,Austin-Round Rock-Georgetown,2014,547544.0,547544.0,0.0,339477.0,208067.0,2.5,62338.0,291558.0,1298.0,1yr,
12420,Austin-Round Rock-Georgetown,2015,567325.0,567325.0,0.0,351741.0,215584.0,2.5,64266.0,313133.0,1338.0,1yr,
12420,Austin-Round Rock-Georgetown,2016,586637.0,586637.0,0.0,363714.0,222923.0,2.5,66254.0,325367.0,1380.0,1yr,
12420,Austin-Round Rock-Georgetown,2017,610401.0,610401.0,0.0,378448.0,231953.0,2.5,68303.0,353256.0,1422.0,1yr,
12420,Austin-Round Rock-Georgetown,2018,637233.0,637233.0,0.0,395084.0,242149.0,2.5,70416.0,358516.0,1467.0,1yr,
12420,Austin-Round Rock-Georgetown,2019,665907.0,665907.0,0.0,412862.0,253045.0,2.5,72594.0,379661.0,1512.0,1yr,
12420,Austin-Round Rock-Georgetown,2020,707965.5,707965.5,0.0,438938.0,269027.5,2.5,74873.5,413396.0,1559.5,interpolated,IMPUTED_VALUE
12420,Austin-Round Rock-Georgetown,2021,750024.0,750024.0,0.0,465014.0,285010.0,2.5,77153.0,447131.0,1607.0,1yr,
12420,Austin-Round Rock-Georgetown,2022,788197.0,788197.0,0.0,488682.0,299515.0,2.5,79540.0,469567.0,1657.0,1yr,
12420,Austin-Round Rock-Georgetown,2023,823068.0,823068.0,0.0,510302.0,312766.0,2.5,82000.0,423714.0,1708.0,1yr,
12420,Austin-Round Rock-Georgetown,2024,851979.0,851979.0,0.0,528226.0,323753.0,2.5,84536.0,432458.0,1761.0,1yr,
13820,Birmingham-Hoover,2005,242213.0,227680.0,14533.0,141161.0,86519.0,2.5,30053.0,131703.0,626.0,1yr,
13820,Birmingham-Hoover,2006,248871.0,233938.0,14933.0,145041.0,88897.0,2.5,30982.0,138991.0,645.0,1yr,
13820,Birmingham-Hoover,2007,253344.0,238143.0,15201.0,147648.0,90495.0,2.5,31941.0,133617.0,665.0,1yr,
13820,Birmingham-Hoover,2008,255909.0,240554.0,15355.0,149143.0,91411.0,2.5,32929.0,113193.0,686.0,1yr,
13820,Birmingham-Hoover,2009,257047.0,241624.0,15423.0,149806.0,91818.0,2.5,33947.0,100255.0,707.0,1yr,
13820,Birmingham-Hoover,2010,258292.0,258292.0,0.0,160141.0,98151.0,2.5,34997.0,89945.0,729.0,1yr,
13820,Birmingham-Hoover,2011,259940.0,259940.0,0.0,161162.0,98778.0,2.5,36079.0,89735.0,751.0,1yr,
13820,Birmingham-Hoover,2012,262452.0,262452.0,0.0,162720.0,99732.0,2.5,37195.0,95686.0,774.0,1yr,
13820,Birmingham-Hoover,2013,264481.0,264481.0,0.0,163978.0,100503.0,2.5,38346.0,108160.0,798.0,1yr,
13820,Birmingham-Hoover,2014,267050.0,267050.0,0.0,165571.0,101479.0,2.5,39532.0,115420.0,823.0,1yr,
